file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
2-social-networks/00-karate.graph.dimacs;0.00;34;78;14;8;1;OK;OK;0;
2-social-networks/01-dolphins.graph.dimacs;0.07;62;159;34;20;1;OK;OK;0;
2-social-networks/02-chesapeake.graph.dimacs;0.00;39;170;22;14;1;OK;OK;0;
2-social-networks/03-adjnoun.graph.dimacs;17.43;112;425;59;37;1;OK;OK;0;
2-social-networks/04-polbooks.graph.dimacs;9.48;105;441;62;35;1;OK;OK;0;
2-social-networks/05-football.graph.dimacs;;115;613;0;52;0;;;;
2-social-networks/06-celegans_metabolic.graph.dimacs;;453;2025;0;123;0;;;;
2-social-networks/07-jazz.graph.dimacs;;198;2742;0;90;0;;;;
2-social-networks/08-netscience.graph.dimacs;;1589;2742;0;121;0;;;;
2-social-networks/09-email.graph.dimacs;;1133;5451;0;289;0;;;;
1-random/000002_000000000002.dimacs;0.00;2;0;0;;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.00;12;10;2;0;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.00;4;0;0;;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.01;24;20;4;0;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.00;7;1;1;0;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.00;36;30;4;0;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.00;9;1;1;0;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.00;48;40;7;0;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.00;12;2;2;0;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.00;60;50;10;0;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.00;14;2;1;0;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.01;72;60;11;0;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.00;16;2;2;0;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.00;84;70;13;0;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.01;19;3;1;0;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.00;96;80;15;0;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.00;21;3;2;0;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.00;108;91;15;0;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.01;24;4;2;0;1;OK;OK;0;
1-random/000020_000000000120.dimacs;0.01;120;101;18;0;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.00;26;4;3;0;1;OK;OK;0;
1-random/000022_000000000132.dimacs;0.01;132;112;19;0;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.01;28;4;4;0;1;OK;OK;0;
1-random/000024_000000000144.dimacs;0.00;144;124;22;0;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.00;31;6;5;0;1;OK;OK;0;
1-random/000026_000000000156.dimacs;0.01;156;131;23;0;1;OK;OK;0;
1-random/000028_000000000033.dimacs;0.00;33;8;4;0;1;OK;OK;0;
1-random/000028_000000000168.dimacs;0.01;168;152;26;4;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.00;36;8;5;0;1;OK;OK;0;
1-random/000030_000000000180.dimacs;0.02;180;167;27;4;1;OK;OK;0;
1-random/000035_000000000042.dimacs;0.00;42;7;6;0;1;OK;OK;0;
1-random/000035_000000000210.dimacs;0.01;210;202;26;7;1;OK;OK;0;
1-random/000040_000000000048.dimacs;0.00;48;19;7;0;1;OK;OK;0;
1-random/000040_000000000240.dimacs;0.05;240;244;35;11;1;OK;OK;0;
1-random/000045_000000000054.dimacs;0.00;54;9;6;0;1;OK;OK;0;
1-random/000045_000000000270.dimacs;0.08;270;291;39;14;1;OK;OK;0;
1-random/000050_000000000060.dimacs;0.02;60;13;9;0;1;OK;OK;0;
1-random/000050_000000000300.dimacs;0.30;300;339;46;19;1;OK;OK;0;
1-random/000055_000000000066.dimacs;0.00;66;14;8;0;1;OK;OK;0;
1-random/000055_000000000330.dimacs;0.30;330;399;48;22;1;OK;OK;0;
1-random/000060_000000000072.dimacs;0.00;72;13;10;0;1;OK;OK;0;
1-random/000060_000000000360.dimacs;0.35;360;436;50;25;1;OK;OK;0;
1-random/000065_000000000078.dimacs;0.00;78;20;11;0;1;OK;OK;0;
1-random/000065_000000000390.dimacs;0.95;390;547;59;37;1;OK;OK;0;
1-random/000070_000000000084.dimacs;0.00;84;21;12;0;1;OK;OK;0;
1-random/000070_000000000420.dimacs;1.91;420;539;60;38;1;OK;OK;0;
1-random/000075_000000000090.dimacs;0.00;90;33;13;2;1;OK;OK;0;
1-random/000075_000000000450.dimacs;5.28;450;682;68;38;1;OK;OK;0;
1-random/000080_000000000096.dimacs;0.00;96;24;13;0;1;OK;OK;0;
1-random/000080_000000000480.dimacs;6.78;480;777;73;45;1;OK;OK;0;
1-random/000085_000000000102.dimacs;0.01;102;36;16;0;1;OK;OK;0;
1-random/000085_000000000510.dimacs;9.29;510;843;76;47;1;OK;OK;0;
1-random/000090_000000000108.dimacs;0.00;108;38;17;2;1;OK;OK;0;
1-random/000090_000000000540.dimacs;9.52;540;825;78;47;1;OK;OK;0;
1-random/000095_000000000114.dimacs;0.01;114;46;18;2;1;OK;OK;0;
1-random/000095_000000000570.dimacs;21.70;570;1022;86;49;1;OK;OK;0;
1-random/000100_000000000120.dimacs;0.01;120;51;20;4;1;OK;OK;0;
1-random/000100_000000000600.dimacs;51.95;600;1151;95;68;1;OK;OK;0;
1-random/000200_000000000240.dimacs;0.34;240;166;38;17;1;OK;OK;0;
1-random/000200_000000001200.dimacs;;1200;4537;0;157;0;;;;
1-random/000300_000000000360.dimacs;7.47;360;387;58;24;1;OK;OK;0;
1-random/000300_000000001800.dimacs;;1800;11129;0;253;0;;;;
1-random/000400_000000000480.dimacs;123.17;480;552;78;46;1;OK;OK;0;
1-random/000400_000000002400.dimacs;;2400;18594;0;347;0;;;;
1-random/000500_000000000600.dimacs;127.72;600;1271;100;71;1;OK;OK;0;
1-random/000500_000000003000.dimacs;;3000;30730;0;451;0;;;;
1-random/000600_000000000720.dimacs;;720;1694;0;78;0;;;;
3-medium-sized/vc001.dimacs;;6160;40207;0;1287;0;;;;
3-medium-sized/vc003.dimacs;;60541;48418;0;0;0;;;;
3-medium-sized/vc005.dimacs;;200;798;0;72;0;;;;
3-medium-sized/vc007.dimacs;;8794;10121;0;1845;0;;;;
3-medium-sized/vc009.dimacs;;38452;174645;0;9413;0;;;;
